,,Years,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
,,Total,26.05,21,19.71,17.76,17.95,18.27,17.66,16.41,16.66,13.06,12.72,16.48,22.74,22.31,22.26,22.21,19.57,20.77,19.05
1,,Andalucia,16.38,17.66,15.9,12.11,12.33,12.05,10.97,9.22,10.34,8.43,5.59,9.72,11.41,11.6,12.58,14.07,13.49,14.69,13.11
1,4,Almeria,10.91,12.91,10.82,7.96,0.21,4.7,10.08,11.53,9.6,6.35,7.35,6.99,11.68,8.61,9.94,10.84,8.24,6.39,7.8
1,11,Cadiz,18.51,34.8,23.82,20.61,10.64,7.63,1.91,0.91,4.62,18.11,17.04,16.56,16.64,14.39,13.6,13.45,11.93,13.02,11.35
1,14,Cordoba,1.32,5.54,20.53,14.97,15.61,9.98,5.92,5.54,4.75,1.45,0.66,1.96,7.69,5.19,6.46,6.56,9.73,9.68,6.86
1,18,Granada,6.81,4.64,8.98,15.76,12.49,11.36,13.33,11.34,8.62,6.62,5.49,7.98,7.39,8.82,8.57,7.43,6.53,6.34,9.27
1,21,Huelva,14.85,19.26,29.88,9.77,11.74,9.06,10.37,5.06,4.39,3.71,1.3,7.96,14.5,12.05,19.65,16.94,13,17.2,15.46
1,23,Jaen,3.29,2.81,10.29,13.07,18.35,15.87,12.94,11.08,15.47,10.29,4.82,9.3,7.88,10.18,11.56,9.07,7.81,10.84,7.02
1,29,Malaga,7.3,8.28,8.49,4.14,5.47,6.43,1.65,2.36,2.74,2.14,3.91,8.9,13.76,14.96,15.75,11.83,12.66,12.27,9.17
1,41,Sevilla,40.23,31.66,17.01,10.57,18.09,21.7,24.43,19.98,22.78,11.94,2.5,11.64,10.11,12.75,13.37,24.98,24.36,27.77,25.45
2,,Aragon,26.21,27.17,16.25,12.47,23.66,21.24,15.72,2.68,2.68,2.92,2.41,8.51,10.31,15.94,14.31,18.33,14.3,15.84,12.51
2,22,Huesca,17.79,11.54,3.37,7.22,2.89,4.35,5.81,4.36,4.86,0.97,5.34,10.12,10.97,16.53,16.34,14.78,13.7,19.87,13.46
2,44,Teruel,11.85,10.52,2.82,1.42,5.01,2.88,3.63,1.46,1.47,0.74,0.74,1.47,3.64,10.08,5,5.65,4.88,6.87,4.11
2,50,Zaragoza,30.75,33.85,21.67,15.59,31.8,28.34,20.09,2.46,2.34,3.74,1.98,9.24,11.19,16.6,15.16,21.15,15.91,16.18,13.58
3,,Asturias (Principado de),33.45,19.31,8.44,26.97,44.17,19.3,32.78,30.58,30.14,31.98,24.28,24.97,40.94,42.75,35.7,34.12,28.62,28.14,29.14
4,,Balears (IIles),170.87,7.05,22.44,24.38,10.03,24.9,27.23,33.48,15.79,1.79,11.72,12.59,18.82,21.8,18.52,20.84,12.25,16.34,15.91
5,,Canarias,55.21,42.29,54.27,50.31,49.46,53.31,51.73,33.04,50.15,39.03,23.23,24.43,28.69,34.87,33.14,29.05,27.44,29.01,26.27
5,35,Las Palmas,49.28,49.06,61.8,49.84,49.66,61.08,50.34,13.9,60.39,51.24,25.33,20.4,25.49,35.01,30.86,31.21,26.19,28.85,26.29
5,38,Santa Cruz de Tenerife,61.49,35.11,46.28,50.81,49.24,45.04,53.22,53.52,39.17,26.02,20.95,28.78,32.13,34.73,35.48,26.73,28.76,29.18,26.25
6,,Cantabria,5.87,10.8,4.16,1.7,1.89,0.95,1.89,0.76,1.7,2.26,2.62,13.03,17.33,9.3,13.35,17.85,19.22,20.22,12.29
7,,Castilla y Leon,15.29,11.2,7.6,10.83,10.55,10.71,8.91,8.59,8.18,9.87,9.57,11.76,14.79,15.01,18.32,17.94,15.77,17.43,16.61
7,5,Avila,19.52,16.17,11.61,23.35,25.83,20.09,6.54,6.59,4.23,5.47,43.37,51.4,10.39,1.83,6.06,13.89,12.56,13,10.57
7,9,Burgos,9.07,21.56,4.26,11.65,6.54,3.42,9.7,3.72,6.59,2.58,2.29,14.3,35.59,31.96,43.54,22.34,22.43,23.29,23.46
7,24,Leon,12.78,8.06,9.86,7.39,6.07,11.05,5.36,10.61,8.27,7.11,4.9,3.08,9.25,12.16,10.13,11.8,12.4,11.58,10.35
7,34,Palencia,5.4,3.26,8.19,- ,- ,- ,- ,- ,3.4,5.7,1.72,2.3,5.78,9.88,16.87,14.58,18.11,19.3,21.74
7,37,Salamanca,19.02,11.22,5.34,9.86,6.22,10.21,12.24,3.72,12.35,11.53,23.71,22.29,10.71,8.39,15.31,24.83,20.18,21.57,20.45
