,,Years,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
,,Total,10.70,11.20,11.90,12.60,13.50,14.63,15.29,16.04,16.92,17.96,18.64,19.20,19.66,20.47,22.01,22.34,22.81,23.08,23.38
1,,Andalucía,8.18,9.08,9.60,10.10,10.73,11.86,12.51,13.25,14.42,14.91,15.12,15.49,16.25,16.49,17.69,18.13,18.81,19.12,19.65
1,4,Almería,9.00,9.20,10.10,11.90,11.40,12.32,12.73,10.23,13.89,13.72,14.16,14.70,16.03,12.91,13.36,15.22,16.10,17.19,16.31
1,11,Cádiz,7.20,8.60,9.30,9.70,10.70,11.51,12.10,13.87,15.86,16.48,16.21,16.50,16.98,17.02,18.55,17.93,18.27,19.45,20.76
1,14,Córdoba,8.20,8.40,8.90,10.10,11.60,10.71,11.96,11.83,12.83,14.54,14.20,13.71,13.94,14.57,16.57,17.75,17.75,18.53,18.23
1,18,Granada,9.70,11.30,11.70,11.50,11.50,12.24,12.94,14.42,14.63,14.24,15.45,15.80,16.98,17.78,19.01,18.40,18.50,18.80,21.21
1,21,Huelva,5.40,6.60,7.10,7.90,9.70,11.03,11.30,12.85,12.70,12.13,11.23,11.96,12.41,13.95,16.16,15.97,18.42,16.98,17.15
1,23,Jaén,7.70,7.80,7.70,8.10,8.50,8.90,9.81,11.19,11.77,12.41,12.20,12.91,14.42,14.74,15.20,14.83,15.23,16.32,16.01
1,29,Málaga,8.20,9.20,9.40,10.10,10.90,12.66,13.06,14.12,14.87,13.74,14.07,13.81,13.14,14.06,16.20,17.34,18.07,16.69,18.37
1,41,Sevilla,8.80,9.70,10.60,10.80,10.80,13.07,13.68,14.08,15.38,17.28,17.87,18.90,20.61,20.77,20.96,21.75,22.76,23.65,23.05
2,,Aragón,11.55,11.80,12.71,13.42,15.07,16.38,16.68,16.92,17.46,18.46,19.70,19.61,21.26,21.76,22.68,24.45,24.85,24.15,24.22
2,22,Huesca,11.00,11.30,11.30,12.70,11.90,15.14,15.32,14.56,15.97,15.96,14.83,15.84,17.96,17.39,17.58,18.32,18.12,19.64,20.86
2,44,Teruel,8.70,9.80,9.70,10.00,9.50,10.13,12.10,13.16,11.54,13.23,14.60,14.53,12.32,13.52,17.63,18.26,18.88,15.58,17.63
2,50,Zaragoza,12.20,12.20,13.60,14.20,16.80,17.72,17.75,18.09,18.76,19.88,21.66,21.31,23.45,24.09,24.69,26.89,27.39,26.55,26.03
3,,Asturias (Principado de),10.10,11.30,12.40,13.60,13.40,13.40,14.02,14.71,17.02,16.42,16.11,17.60,18.62,19.85,23.48,22.08,22.79,24.38,25.07
4,,Balears (Illes),8.30,7.00,8.70,9.20,9.80,11.31,11.76,12.52,12.47,13.94,13.99,14.87,14.90,13.70,16.22,18.32,17.15,16.97,17.74
5,,Canarias,10.13,9.74,10.80,12.13,12.17,12.64,13.92,14.75,14.23,14.97,16.22,18.22,17.46,18.48,19.75,19.01,19.79,18.95,19.30
5,35,Las Palmas,9.20,9.00,10.20,11.00,11.00,11.41,13.26,13.87,14.24,14.36,14.68,16.61,16.31,16.78,18.58,17.71,19.31,18.66,18.64
5,38,Santa Cruz de Tenerife,11.10,10.50,11.30,13.30,13.40,13.94,14.61,15.67,14.21,15.62,17.86,19.93,18.69,20.26,20.97,20.38,20.29,19.25,19.98
6,,Cantabria,11.90,13.10,13.60,13.90,14.70,15.56,15.96,17.44,17.22,18.08,18.67,19.75,20.89,20.91,23.61,24.20,25.17,25.92,26.32
7,,Castilla y León,11.20,11.60,12.01,12.60,13.61,14.42,15.54,16.27,17.14,17.32,17.49,18.01,19.42,20.08,20.87,21.43,22.01,22.72,23.22
7,5,Ávila,7.60,7.60,7.30,9.40,10.40,10.08,10.52,11.97,13.30,13.28,12.44,13.64,12.73,13.44,16.55,17.05,15.97,16.98,16.00
7,9,Burgos,13.80,13.70,14.20,16.60,16.20,16.97,19.26,17.80,18.45,20.01,22.03,22.57,23.53,25.86,24.17,26.18,26.16,25.32,27.19
7,24,León,10.70,11.40,11.90,12.00,13.40,13.42,13.25,14.93,15.67,14.68,15.72,16.82,16.06,17.41,19.04,17.93,19.81,21.01,20.36
7,34,Palencia,10.50,10.80,12.00,12.20,13.20,13.42,14.86,16.37,17.15,16.37,14.28,14.82,16.54,15.97,17.47,18.19,19.43,20.07,19.14
7,37,Salamanca,10.30,10.80,11.00,12.70,13.90,16.04,18.46,18.82,18.72,21.05,21.62,19.75,20.31,20.30,23.94,22.83,21.99,22.75,24.41
7,40,Segovia,10.50,10.70,11.40,12.70,13.50,13.48,17.16,17.60,18.05,18.57,18.01,15.75,17.94,21.72,19.38,19.49,19.62,19.25,19.94
7,42,Soria,11.80,10.60,11.60,12.50,12.40,12.96,13.13,13.54,14.08,15.53,16.30,16.01,17.73,17.64,17.18,19.24,19.89,21.79,20.05
7,47,Valladolid,13.50,14.20,14.60,13.50,15.00,16.99,17.86,19.56,21.83,20.70,19.80,21.96,26.78,25.35,25.55,28.42,28.70,30.22,31.13
7,49,Zamora,8.30,9.20,9.00,8.30,9.70,9.56,8.92,8.42,8.27,8.52,8.25,9.08,10.37,11.61,11.57,10.07,12.82,12.85,13.86
8,,Castilla-La Mancha,7.44,7.50,8.19,8.71,9.18,10.34,10.96,10.77,11.43,11.83,12.72,13.30,13.55,13.61,15.11,16.25,16.69,16.57,17.95
8,2,Albacete,6.60,6.40,6.50,7.50,9.70,10.58,12.29,11.42,13.11,14.45,14.37,14.37,14.31,15.32,15.11,15.94,16.95,18.55,19.10
8,13,Ciudad Real,7.30,7.80,8.70,9.20,9.00,11.21,10.70,10.35,10.44,10.16,10.90,12.12,13.29,13.00,15.09,16.14,16.16,16.30,17.28
8,16,Cuenca,8.70,7.10,9.10,9.50,9.30,9.64,9.83,8.81,9.54,10.19,10.51,10.19,10.04,9.49,9.83,10.58,10.65,11.94,12.26
8,19,Guadalajara,11.90,12.40,12.90,12.90,14.80,14.21,15.80,17.03,18.14,17.74,17.75,17.50,19.87,19.99,20.27,21.78,21.86,19.81,21.44
8,45,Toledo,6.30,6.70,7.10,7.50,7.20,8.46,9.22,9.49,9.77,10.27,12.41,13.40,12.45,12.34,15.22,16.61,17.22,15.98,18.40
9,,Cataluña,11.84,12.03,12.70,13.32,14.07,15.83,15.39,16.24,17.19,18.90,19.51,20.42,20.75,21.86,23.08,23.10,22.64,23.00,23.52
9,8,Barcelona,12.40,12.70,13.50,13.80,14.60,16.56,15.98,17.00,17.96,19.73,20.31,21.31,21.68,22.75,24.27,24.65,23.95,24.28,24.80
