,,Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
,,Total,20.3,19.8,18.9,18.1,17.6,16.8084206606,16.3286099767,15.5870388383,16.0776615954,16.4141094661,15.4336362155,14.3072782977,12.2205578549,11.7492406277,12.4178932337,11.9177015224,11.6485984882,11.2908586968,11.1889694939
1,,Andalucía,29.4976722,29.775295796,29.6108593223,28.4451464512,27.1296074231,26.1523677565,25.7688978395,24.6955883253,24.7525052224,24.4539021639,23.2692405085,21.4682869985,20.8966593358,19.3716919238,18.0516744596,17.0570924987,16.9598219729,16.3147936813,15.8442370384
1,4,Almería,30.9,29.5,27.4,23.2,21.9,24.1946263868,29.5561424982,28.8631207462,28.7370498273,29.1518476099,27.9157128602,22.2044728435,22.4739062847,22.3632709193,21.5726217152,18.0650184933,17.1455223881,15.0816696915,14.9309912171
1,11,Cádiz,28,31.3,29.9,28,26.7,25.0373977063,22.9249011858,20.7107066751,19.5269479871,19.4620833686,18.6277796402,17.2082228117,16.2606942401,16.2277043932,16.5197363196,14.8352793995,17.7067543612,16.9135551948,15.7788742322
1,14,Córdoba,33.2,32.8,33.5,30.5,26.8,28.6201873049,27.1659263564,25.8165881088,27.6878731727,26.5946122984,27.5963063906,30.2051364885,26.033322653,23.2093855637,22.0242787325,21.7814019131,20.5691151855,19.662486453,19.5679012346
1,18,Granada,25.4,24.8,29.1,28.9,27.1,27.5641275915,30.7680372382,29.6302009023,29.6500709057,28.4062381134,26.6545989365,21.5181862179,22.4482329699,19.6473551637,18.4741510301,16.8927850831,18.0879789452,16.8399729912,16.9214266559
1,21,Huelva,26,28.6,30,28.6,28.2,28.293370945,27.1285475793,26.082161566,28.0816772519,23.9697338198,23.362737236,22.5367014945,21.6124395662,19.3256685183,18.326642452,15.4908360532,14.5508354399,18.2193110141,15.9211159211
1,23,Jaén,34.7,34.2,33.1,33.9,34.9,33.9861523244,32.374171858,31.5799842396,31.6507235713,29.3311216276,27.3220864844,28.0235135396,27.7055449331,27.4438950171,22.295639041,22.8996142629,20.839173909,20.1524446923,19.9183976261
1,29,Málaga,33.3,32.6,31.8,32.4,31.9,27.8844636187,26.0400456479,24.8065960912,25.0012485642,27.8666862428,26.6001103938,23.2722838449,22.5791020297,21.0739793669,17.6848943308,17.7406342442,16.6736808353,15.9606065343,15.4456513366
1,41,Sevilla,26.3,26.2,25.2,23.8,22.2,20.7798130273,20.4002244249,20.1181897334,19.6176287109,19.2013932984,17.2974136385,16.0521837777,16.4048253612,14.3306402571,14.5993922642,13.9399806389,13.7979631898,13.091367527,12.9802631579
2,,Aragón,12.8250481013,12.7964009376,12.313717614,11.2,10.3900621587,10.5100154853,10.0613375544,8.9900931539,8.8251191588,10.1484057403,9.5080208689,8.7516336706,7.2830071153,6.7398156267,8.0772113943,8.4538993958,9.3706517028,8.298829883,7.4843330349
2,22,Huesca,9.9,10.4,10.2,8.8,8.7,7.3383975921,5.9454051736,4.3391378818,5.1340559042,8.2632853683,7.2727272727,6.9918240767,7.2524407252,7.1231363887,9.8266684864,10.2674952715,11.3842864778,7.146638433,6.5469904963
2,44,Teruel,11.5,12.8,10.9,7.9,7.5,10.0407637846,10.2807775378,9.4351871889,13.6225596529,14.7052425495,15.9061277705,14.6995244272,10.0984167736,8.9583773505,13.1996658312,10.1652892562,9.8494098494,10.843373494,10.2254428341
2,50,Zaragoza,13.8,13.4,13.1,12.3,11.3,11.3661971831,11.0258635654,10.0445580464,8.954607978,9.8843178862,9.0413943355,8.2438002568,6.8501856374,6.3004632694,6.8557223694,7.7526892141,8.8165134697,8.1745235707,7.2815533981
3,,Asturias (Principado de),9.9,11.2,11.1,10.1,10.1,9.7116843703,10.230151458,10.9524193765,13.2810401332,14.7572607438,13.2272023078,11.5920371458,10.4533333333,9.212069517,9.5987201706,9.3703308431,9.7011739594,7.8188421278,6.4903073792
4,,Balears (Illes),24,21.9,19.2,18.7,17.8,14.8875119558,14.7740855845,14.2768466791,14.4435259638,14.4287995355,14.3163218714,14.0384223746,11.2896336455,11.6579317397,10.9028749029,10.9905389475,10.4994574303,9.6303057964,9.6372009435
5,,Canarias,22.3252716548,20.9486883778,20.3995972518,19.6174012158,19.6,19.2553319677,18.9920735884,17.9268712031,19.1203022914,19.8040486997,21.1138587998,18.0503091386,15.313814433,15.311404778,14.7908959809,13.9030885549,13.9438364958,13.1981771442,13.5244247073
5,35,Las Palmas,21,18.2,17.7,18,18.5,18.3346425766,17.7100872493,16.7643217018,18.6898230571,19.8215916274,20.4648641323,17.8888523512,13.4197190327,13.0322985262,13.1936787946,12.7221590569,11.7633315811,11.3117001828,13.4070646654
5,38,Santa Cruz de Tenerife,23.7,23.8,23.2,21.3,20.9,20.2186241473,20.3340944598,19.1460216821,19.572519084,19.7855822551,21.8002006593,18.2218340611,17.3192515367,17.7091580892,16.4654508091,15.1397418223,16.2243059161,15.1721664275,13.647086577
6,,Cantabria,8.5,7.1,6.5,7.6,7.4,7.4613284804,7.4724285393,8.4431538977,8.5318559557,7.3679001485,6.6608429788,7.1810955497,2.3758561644,1.4393819125,5.9442206059,5.5886157827,5.0757265657,3.3258973839,2.3011707711
7,,Castilla y León,9.5778981811,8.8954433569,8.7605241767,9.2833755737,9.2375619097,8.7320659545,8.2732655809,7.9575217868,8.904655897,8.7394237978,7.8284118591,8.139782655,5.4744740847,5.1256730385,7.5117370892,7.9359895493,7.9325109948,8.2879053867,8.4500531595
