,,Years,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
,,Total,22.35,19.14,18.78,17.41,15.67,18.35,18.53,18.03,17.28,18.79,17.43,25.39,24.3,24.6,22.91,23.28,22.52,21.24,20.05
1,,Andaluc�a,9.76,7.45,11.84,6.62,4.65,4.22,5.58,4.69,4.28,3.4,3.71,7.41,8.59,9.38,8.03,7.9,7.59,7.29,6.15
1,4,Almer�a,6.54,16.56,19.1,3.35,3.94,4.5,4.23,5.57,1.96,3.47,2.64,4.99,5.8,7.58,7.46,7.33,6.71,8.47,6.77
1,11,C�diz,4.44,7.36,14.93,7.21,5.36,4.63,5.81,6.44,9.32,4.78,6.73,10.81,10.08,13.17,10.24,12.26,10.42,7.96,7.57
1,14,C�rdoba,17.87,9.5,9.08,4.73,5.9,1.71,4.08,2.5,3.83,3.56,4.2,4.15,7.94,8.56,5.82,4.76,7.17,5.61,3.17
1,18,Granada,10.46,4.76,5.86,9.81,4.82,3.7,4.94,4.81,2.22,4.41,3.29,5.76,7.43,10.7,6.84,8.35,6.86,6.67,5.3
1,21,Huelva,2.92,6.72,4.91,3.55,5.76,2.43,2.43,1.76,3.73,3.49,2.6,9.09,8.73,8.24,9.4,12.19,10.16,8.4,10.31
1,23,Ja�n,10.97,18.28,2.65,12.45,0.62,4.51,12,0.62,5,1.4,4.35,5.7,10.41,9.71,11.09,7.38,9.49,9.46,8.09
1,29,M�laga,10.48,2.99,22.58,6.59,4.96,5.76,6.35,4.48,2.42,2.22,2.5,6.54,9.01,9.01,6.54,5.88,6.3,6.33,5.09
1,41,Sevilla,10.95,4.39,9.68,5.05,4.72,4.52,4.86,6.68,4,3.51,3.14,9.01,8.41,7.65,8.03,7.07,6.27,7.17,5.76
2,,Arag�n,14.03,19.12,18.76,11.04,10.87,13.71,14.97,12.63,11.29,17.71,12.16,17.63,17.26,17.72,18.94,18.09,19.2,17.83,16.23
2,22,Huesca,17.79,17.79,32.71,24.55,16.87,15.94,10.65,12.61,8.26,34.53,18.45,26.92,22.83,31.17,28.01,29.56,26.49,23.94,25.58
