Fecha;Tipo
ene-95;10.66
feb-95;10.96
mar-95;11.24
abr-95;11.28
may-95;11.46
jun-95;11.5
jul-95;11.46
ago-95;11.54
sep-95;11.51
oct-95;11.35
nov-95;11.28
dic-95;11.19
ene-96;10.93
feb-96;10.77
mar-96;10.56
abr-96;10.42
may-96;10.01
jun-96;9.61
jul-96;9.36
ago-96;9.24
sep-96;9.08
oct-96;8.95
nov-96;8.63
dic-96;8.42
ene-97;8.07
feb-97;7.79
mar-97;7.5
abr-97;7.39
may-97;7.19
jun-97;7.02
jul-97;6.78
ago-97;6.7
sep-97;6.67
oct-97;6.62
nov-97;6.53
dic-97;6.4
ene-98;6.29
feb-98;6.23
mar-98;6.03
abr-98;5.86
may-98;5.77
jun-98;5.71
jul-98;5.63
ago-98;5.65
sep-98;5.65
oct-98;5.5
nov-98;5.39
dic-98;5.16
ene-99;5.11
feb-99;5.02
mar-99;4.95
abr-99;4.87
may-99;4.75
jun-99;4.56
jul-99;4.46
ago-99;4.55
sep-99;4.63
oct-99;4.71
nov-99;4.84
dic-99;4.97
ene-00;5.06
feb-00;5.23
mar-00;5.3
abr-00;5.41
may-00;5.54
jun-00;5.69
jul-00;5.89
ago-00;6.05
sep-00;6.24
oct-00;6.29
nov-00;6.36
dic-00;6.38
ene-01;6.42
feb-01;6.3
mar-01;6.13
abr-01;6.06
may-01;6.02
jun-01;5.92
jul-01;5.87
ago-01;5.82
sep-01;5.73
oct-01;5.55
nov-01;5.28
dic-01;4.99
ene-02;4.88
feb-02;4.87
mar-02;4.91
abr-02;4.97
may-02;5.04
jun-02;5.04
jul-02;5.04
ago-02;5.03
sep-02;4.84
oct-02;4.71
nov-02;4.52
dic-02;4.37
ene-03;4.33
feb-03;4.2
mar-03;4.07
abr-03;3.93
may-03;3.85
jun-03;3.75
jul-03;3.55
ago-03;3.45
sep-03;3.46
oct-03;3.48
nov-03;3.46
dic-03;3.46
ene-04;3.53
feb-04;3.51
mar-04;3.39
abr-04;3.31
may-04;3.25
jun-04;3.29
jul-04;3.38
ago-04;3.46
sep-04;3.45
oct-04;3.45
nov-04;3.48
dic-04;3.39
ene-05;3.43
feb-05;3.44
mar-05;3.42
abr-05;3.41
may-05;3.42
jun-05;3.35
jul-05;3.29
ago-05;3.29
sep-05;3.28
oct-05;3.31
nov-05;3.35
dic-05;3.46
ene-06;3.67
feb-06;3.78
mar-06;3.84
abr-06;3.93
may-06;4.1
jun-06;4.19
jul-06;4.29
ago-06;4.41
sep-06;4.52
oct-06;4.63
nov-06;4.71
dic-06;4.74
ene-07;4.85
feb-07;4.92
mar-07;4.98
abr-07;5.05
may-07;5.11
jun-07;5.2
jul-07;5.32
ago-07;5.43
sep-07;5.49
oct-07;5.57
nov-07;5.59
dic-07;5.53
ene-08;5.56
feb-08;5.59
mar-08;5.43
abr-08;5.38
may-08;5.55
jun-08;5.72
jul-08;5.94
ago-08;6.18
sep-08;6.21
oct-08;6.21
nov-08;6.18
dic-08;5.83
ene-09;4.97
feb-09;4.35
mar-09;3.91
abr-09;3.55
may-09;3.36
jun-09;3.16
jul-09;3.07
ago-09;2.99
sep-09;2.82
oct-09;2.78
nov-09;2.7
dic-09;2.62
ene-10;2.6
feb-10;2.67
mar-10;2.6
abr-10;2.55
may-10;2.5
jun-10;2.39
jul-10;2.53
ago-10;2.6
sep-10;2.66
oct-10;2.7
nov-10;2.72
dic-10;2.66
ene-11;2.92
feb-11;3.07
mar-11;3.15
abr-11;3.31
may-11;3.46
jun-11;3.53
jul-11;3.58
ago-11;3.68
sep-11;3.67
oct-11;3.75
nov-11;3.72
dic-11;3.66
ene-12;3.8
feb-12;3.82
mar-12;3.74
abr-12;3.53
may-12;3.47
jun-12;3.4
jul-12;3.34
ago-12;3.31
sep-12;3.18
oct-12;3.18
nov-12;3.06
dic-12;2.93
ene-13;3.16
feb-13;3.26
mar-13;3.22
abr-13;3.2
may-13;3.18
jun-13;3.16
jul-13;3.19
ago-13;3.27
sep-13;3.2
